Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 31, 2019",16.93,17.57,16.77,17.40,"199,990,283","2,456,689,309"
"Mar 30, 2019",16.49,17.24,16.07,16.93,"182,021,376","2,390,413,470"
"Mar 29, 2019",16.80,16.90,16.45,16.51,"172,002,338","2,330,827,187"
"Mar 28, 2019",16.78,16.91,16.61,16.81,"189,454,288","2,372,500,772"
"Mar 27, 2019",16.29,16.96,16.05,16.78,"202,275,822","2,369,114,351"
"Mar 26, 2019",16.76,16.83,15.78,16.34,"186,112,032","2,306,195,308"
"Mar 25, 2019",17.25,17.42,16.22,16.84,"199,413,830","2,377,537,598"
"Mar 24, 2019",15.24,17.38,14.92,17.29,"314,554,203","2,440,268,717"
"Mar 23, 2019",15.25,15.55,15.10,15.24,"143,128,548","2,150,949,042"
"Mar 22, 2019",14.50,15.32,14.39,15.27,"149,753,510","2,155,244,843"
"Mar 21, 2019",15.28,15.45,14.34,14.52,"152,779,939","2,049,500,112"
"Mar 20, 2019",15.69,15.72,15.18,15.28,"136,054,765","2,157,164,802"
"Mar 19, 2019",15.68,16.01,15.41,15.69,"216,950,178","2,215,550,960"
"Mar 18, 2019",15.75,15.94,15.40,15.68,"132,882,167","2,213,915,702"
"Mar 17, 2019",16.09,16.10,15.68,15.76,"131,687,083","2,225,087,469"
"Mar 16, 2019",15.05,16.16,15.02,16.12,"143,423,670","2,275,609,084"
"Mar 15, 2019",15.03,15.30,15.01,15.08,"124,146,334","2,128,517,331"
"Mar 14, 2019",15.12,15.23,14.75,15.05,"137,039,682","2,124,846,987"
"Mar 13, 2019",15.43,15.45,15.10,15.12,"145,402,739","2,133,885,107"
"Mar 12, 2019",14.50,15.51,14.32,15.41,"169,525,508","2,174,968,137"
"Mar 11, 2019",14.50,14.97,14.22,14.51,"152,327,295","2,049,079,581"
"Mar 10, 2019",14.57,14.60,14.07,14.49,"140,866,074","2,046,259,504"
"Mar 09, 2019",14.28,14.95,14.11,14.57,"160,640,089","2,056,345,113"
"Mar 08, 2019",15.23,15.32,13.76,14.37,"227,303,083","2,028,259,194"
"Mar 07, 2019",14.53,15.65,14.44,15.15,"236,520,320","2,138,227,830"
"Mar 06, 2019",13.75,14.56,13.11,14.52,"191,016,822","2,049,578,132"
"Mar 05, 2019",11.52,13.84,11.52,13.81,"237,026,335","1,949,911,246"
"Mar 04, 2019",11.54,11.60,11.07,11.55,"89,421,231","1,630,004,462"
"Mar 03, 2019",11.85,11.96,11.35,11.54,"89,868,246","1,628,869,047"
"Mar 02, 2019",11.38,11.92,10.96,11.87,"120,807,894","1,675,716,941"
"Mar 01, 2019",10.36,11.61,10.33,11.39,"117,838,677","1,608,442,973"
