Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 30, 2019",224.98,226.76,217.43,218.91,"1,309,092,627","3,971,434,832"
"Nov 29, 2019",218.89,225.69,218.44,224.81,"1,475,684,082","4,078,066,144"
"Nov 28, 2019",220.12,226.24,218.58,218.74,"1,391,327,826","3,967,553,739"
"Nov 27, 2019",212.36,224.12,206.61,220.41,"1,963,457,159","3,997,547,767"
"Nov 26, 2019",208.78,214.93,208.35,212.93,"1,808,857,014","3,861,504,453"
"Nov 25, 2019",205.24,215.30,194.76,209.24,"2,401,604,928","3,794,036,862"
"Nov 24, 2019",217.29,217.91,205.14,205.15,"2,128,845,957","3,719,555,398"
"Nov 23, 2019",209.10,217.36,202.89,217.34,"2,407,778,555","3,940,197,869"
"Nov 22, 2019",226.70,229.26,198.15,208.93,"3,382,940,612","3,787,329,094"
"Nov 21, 2019",244.20,246.82,222.46,226.60,"2,401,952,813","4,107,271,775"
"Nov 20, 2019",244.34,248.62,241.52,244.24,"1,805,761,006","4,426,589,668"
"Nov 19, 2019",250.17,253.92,236.83,244.41,"2,131,441,345","4,429,141,571"
"Nov 18, 2019",268.47,269.80,246.33,250.18,"2,115,048,013","4,533,460,759"
"Nov 17, 2019",267.71,274.04,264.40,268.74,"1,565,942,482","4,869,324,517"
"Nov 16, 2019",264.96,269.50,263.40,267.70,"1,481,946,683","4,849,880,730"
"Nov 15, 2019",280.07,280.27,264.04,264.71,"1,918,658,721","4,795,268,314"
"Nov 14, 2019",286.24,287.01,277.44,279.56,"1,835,340,820","5,063,764,909"
"Nov 13, 2019",289.04,289.66,284.09,286.49,"1,555,824,951","5,188,837,230"
"Nov 12, 2019",287.18,291.64,284.55,289.24,"1,840,497,856","5,238,065,361"
"Nov 11, 2019",293.57,297.01,284.39,287.16,"1,873,466,817","5,199,842,645"
"Nov 10, 2019",282.73,296.04,281.32,293.48,"2,125,907,737","5,313,685,658"
"Nov 09, 2019",277.90,284.10,277.88,282.74,"1,689,515,654","5,118,863,818"
"Nov 08, 2019",293.83,294.61,274.30,277.98,"2,226,108,792","5,032,069,448"
"Nov 07, 2019",306.29,306.67,289.45,293.50,"2,183,103,768","5,312,581,525"
"Nov 06, 2019",293.46,307.36,292.64,306.23,"2,418,826,077","5,542,406,467"
"Nov 05, 2019",291.78,295.80,287.93,293.71,"2,269,171,137","5,315,239,099"
"Nov 04, 2019",292.80,293.98,286.84,291.85,"2,478,124,574","5,281,034,076"
"Nov 03, 2019",290.73,303.13,283.73,292.71,"2,598,715,593","5,296,136,970"
"Nov 02, 2019",279.22,295.23,278.98,290.72,"2,353,771,063","5,259,529,632"
"Nov 01, 2019",284.49,284.49,274.11,279.14,"2,375,427,805","5,049,556,631"
