Date,Open*,High,Low,Close**,Volume,Market Cap
"May 31, 2015",233.13,233.25,229.54,230.19,"14,730,800","3,273,756,425"
"May 30, 2015",237.09,237.09,232.05,233.35,"14,098,600","3,317,769,214"
"May 29, 2015",237.38,237.52,235.73,237.10,"14,805,000","3,370,295,930"
"May 28, 2015",237.26,237.82,236.65,237.41,"13,829,600","3,373,816,958"
"May 27, 2015",237.07,238.64,236.70,237.28,"18,837,000","3,371,257,543"
"May 26, 2015",237.10,238.24,235.69,237.12,"16,425,000","3,368,066,799"
"May 25, 2015",240.93,241.02,236.64,237.11,"14,423,900","3,367,127,977"
"May 24, 2015",238.98,241.98,238.81,240.95,"11,508,000","3,420,845,884"
"May 23, 2015",240.29,241.02,238.69,238.87,"14,605,000","3,390,435,704"
"May 22, 2015",235.32,240.97,235.06,240.35,"27,003,000","3,410,712,372"
"May 21, 2015",234.02,236.24,233.84,235.34,"15,108,900","3,338,890,048"
"May 20, 2015",231.89,234.68,231.84,234.02,"15,499,400","3,319,170,901"
"May 19, 2015",233.04,234.15,231.82,231.95,"14,241,900","3,288,950,473"
"May 18, 2015",236.89,237.21,232.46,233.13,"16,780,300","3,304,944,920"
"May 17, 2015",236.01,238.02,236.01,236.80,"11,134,300","3,356,176,986"
"May 16, 2015",237.64,237.70,235.29,236.15,"11,089,700","3,345,969,203"
"May 15, 2015",236.96,238.75,236.79,237.60,"16,329,400","3,365,752,047"
"May 14, 2015",236.21,237.80,234.06,236.93,"24,413,700","3,355,311,496"
"May 13, 2015",241.40,243.70,235.04,236.38,"27,180,100","3,346,584,200"
"May 12, 2015",242.15,242.88,240.10,241.11,"19,282,600","3,412,644,998"
"May 11, 2015",240.30,244.27,239.38,242.16,"20,892,300","3,426,529,646"
"May 10, 2015",241.73,244.07,238.85,240.30,"15,019,100","3,399,245,238"
"May 09, 2015",243.77,247.80,239.64,241.83,"19,790,500","3,420,193,701"
"May 08, 2015",237.20,246.27,236.27,243.86,"27,445,500","3,448,119,178"
"May 07, 2015",229.66,239.10,228.57,237.33,"29,064,400","3,354,923,757"
"May 06, 2015",236.25,236.45,229.23,229.78,"29,587,200","3,247,353,903"
"May 05, 2015",238.85,239.20,232.05,236.12,"23,929,100","3,335,976,518"
"May 04, 2015",240.36,242.64,237.81,239.02,"21,223,400","3,375,997,790"
"May 03, 2015",234.88,243.24,234.08,240.36,"18,494,100","3,394,161,416"
"May 02, 2015",232.34,235.73,232.34,234.93,"12,535,500","3,316,683,008"
"May 01, 2015",235.94,238.97,232.08,232.08,"18,815,300","3,275,574,610"
