Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2017","1,002.99","1,093.39",985.10,"1,051.68","154,690,000","8,189,400,103"
"Dec 30, 2017","1,147.48","1,147.48",948.24,"1,011.47","184,834,000","7,874,299,927"
"Dec 29, 2017","1,165.88","1,187.55","1,070.62","1,147.95","195,176,992","8,934,522,729"
"Dec 28, 2017","1,188.51","1,188.67","1,063.81","1,160.57","190,296,000","9,030,444,683"
"Dec 27, 2017","1,227.95","1,255.25","1,163.47","1,189.89","211,339,008","9,256,244,088"
"Dec 26, 2017","1,173.71","1,227.72","1,169.34","1,222.83","231,984,992","9,510,091,788"
"Dec 25, 2017","1,190.53","1,235.22","1,162.45","1,175.89","195,124,000","9,142,705,395"
"Dec 24, 2017","1,286.73","1,286.73","1,090.21","1,184.69","230,643,008","9,208,778,987"
"Dec 23, 2017","1,198.74","1,362.96","1,160.04","1,275.50","327,128,992","9,912,131,631"
"Dec 22, 2017","1,441.90","1,452.45",864.37,"1,179.01","510,588,000","9,159,993,684"
"Dec 21, 2017","1,555.59","1,622.26","1,371.39","1,434.82","476,900,000","11,144,581,132"
"Dec 20, 2017","1,184.92","1,642.22","1,167.30","1,550.85","816,872,000","12,042,753,308"
"Dec 19, 2017","1,165.03","1,254.28","1,126.85","1,186.63","302,868,992","9,212,173,098"
"Dec 18, 2017","1,110.16","1,195.74","1,044.76","1,167.12","278,638,016","9,058,422,470"
"Dec 17, 2017","1,014.51","1,178.18","1,014.51","1,105.92","460,593,984","8,581,256,484"
"Dec 16, 2017",901.22,"1,001.51",897.29,"1,001.51","195,788,000","7,769,115,312"
"Dec 15, 2017",943.32,947.28,850.63,900.52,"191,527,008","6,983,898,563"
"Dec 14, 2017",884.21,968.47,866.64,941.10,"259,303,008","7,296,804,340"
"Dec 13, 2017",925.02,931.21,810.96,886.89,"268,426,000","6,874,680,014"
"Dec 12, 2017",765.96,948.65,746.94,932.03,"370,539,008","7,222,829,625"
"Dec 11, 2017",688.55,768.93,688.16,765.40,"184,131,008","5,929,945,666"
"Dec 10, 2017",723.23,723.83,645.16,688.67,"190,183,008","5,334,099,355"
"Dec 09, 2017",727.64,774.65,707.32,723.61,"211,738,000","5,603,364,421"
"Dec 08, 2017",700.68,766.04,659.86,726.67,"288,291,008","5,625,593,539"
"Dec 07, 2017",699.98,714.51,667.83,697.90,"249,304,992","5,401,505,602"
"Dec 06, 2017",756.01,785.18,692.02,700.07,"249,072,992","5,416,941,440"
"Dec 05, 2017",774.71,779.98,754.27,756.36,"201,103,008","5,850,968,450"
"Dec 04, 2017",770.57,778.05,738.59,774.01,"152,280,992","5,986,000,745"
"Dec 03, 2017",778.78,806.70,744.39,768.88,"192,447,008","5,944,764,996"
"Dec 02, 2017",797.90,802.12,769.39,778.43,"188,147,008","6,012,886,394"
"Dec 01, 2017",787.47,806.37,756.48,797.53,"286,044,000","6,158,829,141"
