Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 31, 2020",184.74,185.41,176.30,180.16,"11,728,616,394","19,729,633,078"
"Jan 30, 2020",174.92,186.26,172.37,184.69,"12,604,789,338","20,223,232,964"
"Jan 29, 2020",176.35,178.84,175.05,175.05,"10,725,267,311","19,165,292,202"
"Jan 28, 2020",170.88,176.37,170.74,176.37,"11,772,875,064","19,307,396,128"
"Jan 27, 2020",168.01,172.92,166.90,170.93,"11,004,476,145","18,709,615,891"
"Jan 26, 2020",161.18,168.22,160.28,168.08,"9,261,861,590","18,394,952,135"
"Jan 25, 2020",163.07,163.23,158.63,161.28,"8,256,956,802","17,649,296,256"
"Jan 24, 2020",162.90,164.31,156.75,163.05,"10,657,671,162","17,840,465,424"
"Jan 23, 2020",168.30,168.31,160.30,162.93,"10,396,868,698","17,824,835,899"
"Jan 22, 2020",169.61,171.01,166.77,168.29,"9,209,827,928","18,409,534,609"
"Jan 21, 2020",167.06,169.91,165.82,169.70,"9,789,369,362","18,560,711,557"
"Jan 20, 2020",166.90,169.11,162.33,167.12,"11,144,529,787","18,276,600,992"
"Jan 19, 2020",175.47,177.25,163.68,166.97,"13,713,374,132","18,257,853,532"
"Jan 18, 2020",170.75,178.53,166.79,175.37,"14,929,342,256","19,173,512,823"
"Jan 17, 2020",164.49,173.07,162.78,170.78,"14,997,091,826","18,669,811,576"
"Jan 16, 2020",166.33,167.06,159.71,164.39,"13,735,193,018","17,969,103,321"
"Jan 15, 2020",165.73,170.43,161.11,166.23,"15,173,694,057","18,167,930,411"
"Jan 14, 2020",144.25,167.68,144.06,165.96,"16,712,318,373","18,135,588,271"
"Jan 13, 2020",146.22,146.79,142.91,144.23,"8,378,529,470","15,759,102,081"
"Jan 12, 2020",143.03,146.15,142.71,145.87,"8,528,167,453","15,937,115,426"
"Jan 11, 2020",143.41,146.48,142.21,142.93,"9,332,208,590","15,613,213,640"
"Jan 10, 2020",138.97,144.17,135.52,143.96,"9,084,816,203","15,724,494,553"
"Jan 09, 2020",141.16,141.39,136.24,138.98,"7,697,325,348","15,178,151,517"
"Jan 08, 2020",143.49,146.83,138.27,141.26,"9,387,194,957","15,425,115,411"
"Jan 07, 2020",144.31,145.00,140.49,143.54,"9,257,954,672","15,672,773,110"
"Jan 06, 2020",136.31,144.33,136.08,144.30,"9,093,747,121","15,753,803,340"
"Jan 05, 2020",135.07,139.41,135.05,136.28,"7,526,675,353","14,875,569,430"
"Jan 04, 2020",134.17,136.05,133.04,135.07,"7,430,904,515","14,741,946,278"
"Jan 03, 2020",127.41,134.55,126.49,134.17,"10,476,845,358","14,642,130,120"
"Jan 02, 2020",130.82,130.82,126.95,127.41,"8,032,709,256","13,902,505,466"
"Jan 01, 2020",129.63,132.84,129.20,130.80,"7,935,230,330","14,271,059,633"
