Date,Open*,High,Low,Close**,Volume,Market Cap
"May 31, 2019",108.70,114.63,105.91,114.54,"4,207,966,341","7,103,874,448"
"May 30, 2019",115.14,119.74,105.30,108.80,"4,971,290,022","6,746,180,187"
"May 29, 2019",114.93,117.87,110.47,115.08,"4,122,926,836","7,134,213,755"
"May 28, 2019",117.89,117.89,112.99,114.93,"4,171,886,802","7,123,212,215"
"May 27, 2019",111.44,120.69,111.13,118.03,"6,355,361,291","7,313,766,498"
"May 26, 2019",102.70,112.67,99.74,111.42,"5,168,378,349","6,902,346,395"
"May 25, 2019",100.05,104.11,98.72,102.67,"4,507,357,465","6,358,963,965"
"May 24, 2019",88.97,102.75,88.32,99.90,"5,393,657,682","6,185,976,031"
"May 23, 2019",88.20,89.74,85.23,89.18,"3,208,807,269","5,520,439,405"
"May 22, 2019",91.51,92.00,87.55,88.21,"3,398,528,443","5,459,427,424"
"May 21, 2019",91.57,92.44,89.59,91.51,"3,145,769,021","5,662,154,168"
"May 20, 2019",95.34,95.34,88.57,91.49,"3,566,921,483","5,659,972,915"
"May 19, 2019",86.68,96.54,86.13,95.32,"4,108,852,208","5,895,349,549"
"May 18, 2019",89.01,89.87,85.80,86.70,"3,317,998,478","5,360,906,927"
"May 17, 2019",95.63,97.26,84.94,89.00,"5,319,840,521","5,501,612,938"
"May 16, 2019",101.57,106.21,92.57,95.59,"6,442,000,276","5,907,639,439"
"May 15, 2019",91.66,103.14,90.82,101.74,"5,168,624,436","6,286,790,205"
"May 14, 2019",88.05,93.37,87.66,91.62,"4,930,071,296","5,659,766,830"
"May 13, 2019",84.63,92.37,84.30,88.06,"4,658,762,984","5,438,466,608"
"May 12, 2019",89.54,93.18,83.82,84.57,"5,582,599,422","5,221,525,879"
"May 11, 2019",77.16,94.54,77.11,89.22,"5,491,744,173","5,507,753,609"
"May 10, 2019",74.19,78.72,73.04,77.17,"3,051,537,532","4,762,537,746"
"May 09, 2019",74.59,75.93,72.99,74.18,"2,436,426,305","4,576,943,366"
"May 08, 2019",74.65,75.32,73.10,74.62,"2,532,851,418","4,603,102,252"
"May 07, 2019",74.98,78.01,74.67,74.69,"3,088,433,048","4,606,527,091"
"May 06, 2019",76.03,76.39,72.33,74.98,"2,933,488,799","4,623,334,243"
"May 05, 2019",78.00,78.15,75.54,75.98,"2,650,746,461","4,683,927,727"
"May 04, 2019",79.31,82.02,75.80,78.06,"3,502,670,655","4,810,952,019"
"May 03, 2019",73.76,80.42,73.44,79.33,"3,850,339,792","4,887,671,308"
"May 02, 2019",73.68,74.52,73.10,73.78,"2,903,392,114","4,544,823,994"
"May 01, 2019",74.30,75.42,72.30,73.66,"2,871,792,311","4,536,348,667"
