Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 31, 2016",5.54,5.61,4.84,5.12,"3,111,700","67,793,894"
"Oct 30, 2016",5.14,5.70,4.81,5.57,"5,648,010","73,765,455"
"Oct 29, 2016",5.72,5.84,4.28,5.14,"10,900,200","68,041,696"
"Oct 28, 2016",6.22,6.35,5.63,5.73,"3,034,820","75,698,577"
"Oct 27, 2016",6.17,6.38,5.99,6.21,"2,043,670","82,119,301"
"Oct 26, 2016",6.09,6.21,5.82,6.17,"1,630,120","81,548,938"
"Oct 25, 2016",6.42,6.43,5.77,6.09,"2,973,160","80,388,162"
"Oct 24, 2016",6.51,6.61,6.41,6.42,"628,370","84,643,998"
"Oct 23, 2016",6.52,6.69,6.45,6.51,"561,283","85,905,978"
"Oct 22, 2016",6.79,6.81,6.24,6.52,"2,274,680","85,874,390"
"Oct 21, 2016",6.59,6.91,6.43,6.78,"1,960,270","89,280,696"
"Oct 20, 2016",6.63,7.20,6.48,6.56,"2,510,020","86,319,939"
"Oct 19, 2016",6.57,7.13,6.49,6.62,"2,304,340","87,090,234"
"Oct 18, 2016",6.29,6.79,6.08,6.57,"2,342,430","86,336,793"
"Oct 17, 2016",6.39,6.41,5.70,6.28,"3,659,990","82,595,590"
"Oct 16, 2016",6.57,6.63,6.12,6.38,"2,548,440","83,774,544"
"Oct 15, 2016",6.92,6.93,6.45,6.56,"1,709,700","86,161,364"
"Oct 14, 2016",6.94,7.18,6.83,6.92,"1,682,900","90,845,692"
"Oct 13, 2016",7.28,7.31,6.78,6.91,"2,079,340","90,666,982"
"Oct 12, 2016",7.28,7.62,7.17,7.31,"2,034,800","95,814,532"
"Oct 11, 2016",6.92,7.74,6.60,7.28,"5,966,020","95,321,416"
"Oct 10, 2016",7.56,7.59,6.78,6.94,"3,179,780","90,827,923"
"Oct 09, 2016",6.90,7.69,6.89,7.48,"2,820,040","97,827,789"
"Oct 08, 2016",6.89,7.18,6.62,6.88,"1,795,650","89,953,077"
"Oct 07, 2016",7.19,7.67,6.56,6.89,"4,458,730","90,051,979"
"Oct 06, 2016",6.71,7.29,6.37,7.18,"4,738,590","93,717,481"
"Oct 05, 2016",7.66,7.66,6.13,6.76,"9,101,390","88,254,377"
"Oct 04, 2016",7.95,8.12,7.45,7.65,"2,425,600","99,818,155"
"Oct 03, 2016",8.31,8.55,7.82,7.95,"3,249,380","103,649,996"
"Oct 02, 2016",7.33,8.48,7.32,8.30,"4,709,360","108,225,500"
"Oct 01, 2016",8.42,8.42,7.17,7.36,"8,319,930","95,841,683"
