Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2018",0.335474,0.338988,0.328373,0.335332,"219,139,000","13,295,965,146"
"Aug 30, 2018",0.344546,0.346640,0.325641,0.335444,"263,925,000","13,300,405,964"
"Aug 29, 2018",0.350833,0.353745,0.341238,0.344803,"275,908,000","13,671,491,747"
"Aug 28, 2018",0.337527,0.356798,0.334971,0.351837,"329,550,000","13,939,151,831"
"Aug 27, 2018",0.323643,0.337781,0.323066,0.336903,"227,284,000","13,347,493,496"
"Aug 26, 2018",0.328162,0.328327,0.320571,0.323776,"168,718,000","12,797,087,412"
"Aug 25, 2018",0.327650,0.331530,0.324468,0.328230,"167,363,000","12,973,129,575"
"Aug 24, 2018",0.327390,0.328584,0.318217,0.327606,"244,571,000","12,948,466,281"
"Aug 23, 2018",0.319573,0.328813,0.319176,0.327709,"217,578,000","12,952,537,306"
"Aug 22, 2018",0.334434,0.350122,0.316613,0.319803,"286,845,000","12,640,056,538"
"Aug 21, 2018",0.318219,0.338100,0.316983,0.335177,"248,735,000","13,196,722,736"
"Aug 20, 2018",0.344451,0.351689,0.317692,0.319283,"311,144,000","12,570,937,819"
"Aug 19, 2018",0.327363,0.353079,0.321945,0.343978,"327,300,000","13,543,239,224"
"Aug 18, 2018",0.363027,0.369954,0.317115,0.327100,"434,332,000","12,878,711,866"
"Aug 17, 2018",0.292808,0.373619,0.292766,0.366676,"497,206,000","14,436,913,947"
"Aug 16, 2018",0.282034,0.300958,0.278203,0.292436,"238,219,000","11,513,907,011"
"Aug 15, 2018",0.276797,0.301744,0.276797,0.282005,"332,432,000","11,103,213,512"
"Aug 14, 2018",0.278738,0.279615,0.253983,0.274272,"276,768,000","10,798,746,747"
"Aug 13, 2018",0.297572,0.310680,0.276544,0.277466,"235,117,000","10,924,502,191"
"Aug 12, 2018",0.300604,0.309376,0.297057,0.297870,"178,827,000","11,706,253,644"
"Aug 11, 2018",0.321122,0.321210,0.291582,0.301262,"284,423,000","11,839,558,819"
"Aug 10, 2018",0.346167,0.347973,0.316909,0.320426,"249,264,000","12,592,701,615"
"Aug 09, 2018",0.333771,0.359654,0.332608,0.346771,"325,775,000","13,628,056,811"
"Aug 08, 2018",0.380875,0.380875,0.326996,0.331944,"360,857,000","13,045,357,571"
"Aug 07, 2018",0.413776,0.415917,0.379526,0.381006,"244,448,000","14,973,488,018"
"Aug 06, 2018",0.433886,0.435794,0.406680,0.414081,"242,075,000","16,273,331,370"
"Aug 05, 2018",0.428580,0.434594,0.427522,0.433638,"186,848,000","17,041,919,018"
"Aug 04, 2018",0.441039,0.443058,0.427125,0.428507,"185,678,000","16,840,271,361"
"Aug 03, 2018",0.430397,0.443633,0.426481,0.440571,"278,870,000","17,314,385,048"
"Aug 02, 2018",0.447016,0.447645,0.429939,0.430254,"204,898,000","16,915,730,078"
"Aug 01, 2018",0.435562,0.459134,0.427168,0.445852,"323,200,000","17,528,976,109"
